entity_id,workspace_id,policy_family_id,policy_version_real,y,date_reference,decisao,historical_decision,score1,score2,x1,x2,x3,x4,x5,x6,x7,x8,w1,w2,z1,z2,z3,z4,indicador_potencial1,indicador_potencial2,credit_score,number_of_protests,recent_income_stability,debt_ratio,ticket_value,profit_value,defaulted,churned,segment
1,credit-risk-lab,retail-lending-eligibility,v1.5,1,20241206,reject,reject,368,489,0,0,1,1,0,0,1,0,7,15,0,1,1,0,20.34,37.93,402,7,0.3878,0.8655,2753.88,0.0,1,0,watchlist
2,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240505,approve,approve,499,459,0,0,0,0,0,0,0,0,1,6,0,0,0,0,54.82,50.27,488,1,0.505,0.2918,4734.13,216.23,0,0,watchlist
3,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240125,approve,approve,630,558,0,0,0,0,0,0,0,0,1,6,0,0,0,0,40.58,56.16,610,1,0.7594,0.2205,4527.6,186.84,0,0,near-prime
4,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240227,approve,approve,558,441,0,0,0,0,0,0,0,0,3,5,0,0,0,0,50.17,58.3,525,3,0.7174,0.3799,3637.93,168.22,0,0,watchlist
5,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240915,approve,approve,700,688,0,0,0,0,0,0,0,0,3,6,0,1,0,0,50.94,38.86,697,3,0.9378,0.0932,3983.75,158.89,0,0,standard
6,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240825,reject,reject,508,518,0,0,0,0,0,0,0,0,4,2,0,0,0,0,33.94,44.19,511,4,0.5765,0.8427,3005.79,0.0,0,0,watchlist
7,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240110,approve,approve,706,550,0,0,0,0,0,0,0,0,1,4,0,0,0,0,28.94,84.76,662,1,0.7614,0.3766,4238.58,218.12,0,0,standard
8,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241101,approve,approve,662,471,0,0,1,0,0,0,0,0,5,2,0,0,0,0,54.79,25.26,609,5,0.8302,0.2699,2599.24,134.97,0,0,near-prime
9,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240327,approve,approve,461,489,1,0,0,0,0,0,0,0,2,4,0,0,0,0,54.66,55.22,469,2,0.8081,0.3393,3533.61,175.1,0,0,watchlist
10,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240419,reject,reject,669,639,0,1,0,0,0,0,0,0,6,4,0,0,0,0,20.45,60.44,661,6,0.7532,0.5597,2673.18,0.0,0,0,standard
11,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240318,reject,reject,617,495,0,0,0,0,0,0,0,1,4,4,0,0,1,0,38.24,39.65,583,4,0.4931,0.3448,3541.85,0.0,0,0,near-prime
12,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240427,reject,reject,486,441,0,0,0,0,0,1,0,0,5,6,0,0,1,0,40.53,53.86,473,5,0.5778,0.4106,3195.2,0.0,0,0,watchlist
13,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240123,approve,approve,494,397,0,0,0,0,0,0,0,0,2,3,0,0,0,0,47.92,54.97,467,2,0.8206,0.3297,2933.06,136.56,0,0,watchlist
14,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241109,reject,reject,470,524,0,0,1,0,0,0,0,0,7,3,0,0,1,0,43.8,40.06,485,7,0.367,0.5081,3055.01,0.0,0,0,watchlist
15,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240308,approve,approve,795,657,0,0,0,0,0,0,0,0,1,1,1,0,1,0,60.05,39.23,756,1,0.7789,0.1815,4664.31,140.43,0,0,prime
16,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240819,approve,approve,628,581,0,0,0,0,0,0,0,0,1,2,0,0,0,0,45.21,63.43,615,1,0.5929,0.2748,2310.47,76.21,0,0,near-prime
17,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240225,reject,reject,452,568,0,0,0,0,0,0,0,0,3,10,0,0,0,0,61.51,31.49,484,3,0.2399,0.2285,2417.13,0.0,0,0,watchlist
18,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240925,approve,approve,622,563,1,0,0,0,0,0,1,0,9,18,0,1,1,0,48.54,25.29,605,9,0.2076,0.4942,4452.32,-95.38,1,1,near-prime
19,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240522,approve,approve,969,827,1,0,0,0,0,0,0,0,1,1,0,1,0,0,42.64,75.4,929,1,0.5833,0.374,3801.33,185.75,0,0,prime
20,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241128,approve,approve,478,650,0,0,0,1,0,0,0,0,3,4,0,0,1,0,29.75,71.64,526,3,0.9077,0.1859,4090.43,146.78,0,0,watchlist
21,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240117,approve,approve,767,772,0,0,0,0,0,0,0,0,1,1,0,0,0,0,58.65,42.37,768,1,0.7924,0.184,2377.53,102.54,0,0,prime
22,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241119,approve,approve,524,558,0,0,0,0,0,0,0,0,1,1,0,0,0,0,50.42,56.9,534,1,0.856,0.2578,5130.32,144.46,0,1,watchlist
23,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240330,reject,reject,789,639,0,1,0,0,0,0,0,0,10,12,0,0,0,0,30.46,56.54,747,10,0.7471,0.664,4177.11,0.0,0,0,prime
24,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241113,approve,approve,428,529,0,0,0,0,0,0,0,0,2,3,0,0,0,0,46.11,60.35,456,2,0.7686,0.1152,3743.66,192.6,0,0,watchlist
25,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240922,approve,approve,584,627,1,0,0,0,0,0,0,0,2,2,0,0,0,0,20.49,90.81,596,2,0.7007,0.4344,2455.38,121.25,0,0,near-prime
26,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240914,approve,approve,394,540,1,0,0,0,0,0,0,0,1,3,0,0,1,0,38.69,63.02,435,1,0.851,0.328,4076.2,156.41,0,0,watchlist
27,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240530,approve,approve,718,569,0,0,0,0,0,0,0,0,3,2,0,0,0,0,59.4,29.55,676,3,0.7804,0.1416,4269.5,156.51,0,0,standard
28,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241023,approve,approve,632,568,0,0,0,0,0,0,0,0,1,1,1,0,1,0,41.0,73.14,614,1,0.9537,0.3774,3000.86,137.36,0,0,near-prime
29,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241213,approve,approve,489,629,0,0,0,0,0,0,0,0,1,9,0,0,1,0,40.98,65.71,528,1,0.9525,0.3542,5085.76,179.65,0,0,watchlist
30,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240329,reject,reject,56,383,1,1,1,1,0,0,0,0,9,6,0,0,1,0,27.35,31.98,148,9,0.4282,0.7159,3626.36,0.0,1,0,watchlist
31,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240908,approve,approve,645,471,0,0,0,0,0,0,0,0,2,1,0,1,0,0,40.33,63.07,596,2,0.6031,0.4663,4909.92,228.31,0,0,near-prime
32,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240601,approve,approve,731,598,0,0,0,1,0,0,0,0,2,2,0,0,0,0,43.93,63.5,694,2,0.7794,0.4236,4284.75,142.08,0,0,standard
33,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240817,reject,reject,484,585,0,0,0,0,1,0,0,0,4,1,0,1,0,0,21.4,62.96,512,4,0.3158,0.2858,3143.89,0.0,0,0,watchlist
34,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240316,reject,reject,287,352,0,0,0,0,1,0,0,0,3,5,0,0,1,0,33.13,43.34,305,3,0.8607,0.2591,2512.97,0.0,0,0,watchlist
35,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240113,approve,approve,535,563,0,0,0,0,0,0,0,1,2,6,0,0,0,0,62.44,27.71,543,2,0.7018,0.1633,4996.24,223.67,0,0,near-prime
36,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240424,approve,approve,461,383,0,0,0,0,0,0,0,0,1,3,0,0,0,0,54.53,41.49,439,1,0.7395,0.2041,3840.27,150.69,0,1,watchlist
37,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240118,approve,approve,704,582,0,0,0,1,0,0,0,0,1,2,0,0,0,0,36.65,69.43,670,1,0.7755,0.2193,5337.13,184.67,0,0,standard
38,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240703,approve,approve,347,438,0,0,0,0,0,0,0,0,1,2,0,0,0,0,52.8,37.23,372,1,0.6447,0.3856,3421.85,144.8,0,1,watchlist
39,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241206,approve,approve,856,743,0,0,0,0,0,0,0,0,4,5,0,0,1,0,62.71,36.12,824,4,0.8314,0.378,4435.25,226.29,0,0,prime
40,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240618,approve,approve,0,370,0,0,0,1,0,0,0,0,7,4,0,1,0,0,30.43,42.24,104,7,0.1149,0.548,4139.37,-56.75,1,1,watchlist
41,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241029,approve,approve,547,440,0,0,0,0,0,0,1,0,2,1,1,0,0,0,40.51,60.64,517,2,0.7296,0.3358,2943.24,122.52,0,0,watchlist
42,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240402,approve,approve,668,486,0,0,0,0,0,0,0,0,1,4,0,0,0,0,50.52,60.46,617,1,0.7174,0.1785,4962.1,142.96,0,0,near-prime
43,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241019,approve,approve,568,573,0,0,0,0,0,0,0,0,1,3,0,1,0,0,48.6,62.03,569,1,0.9611,0.4978,4511.34,164.14,0,0,near-prime
44,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240404,reject,reject,458,392,1,0,0,0,1,0,0,0,6,3,0,0,1,0,46.1,28.16,440,6,0.2697,0.6409,4122.18,0.0,0,0,watchlist
